region,planting_code,planting_label,cultivar_id,cultivar_label,n_years,n_sites,rainfed_yield_mean_kg_ha,irrigated_yield_mean_kg_ha,irrigation_mean_mm,incremental_benefit_mean_kg_ha,incremental_iwue_mean_kg_m3,gross_irrigation_productivity_mean_kg_m3,yield_gap_mean_percent,rainfed_seasonal_precip_mean_mm
Southcentral,APR20,Apr 20,990003,Short Season,38,507,3317.856327208554,4177.777639364685,148.37667393335408,859.92131215613,0.4514911981394385,3.7994952865801515,21.922504555479158,454.45889131111807
Southcentral,APR20,Apr 20,990004,V. Short Season,38,507,2665.204090106924,2762.2430187895775,87.36634485622339,97.03892868265338,0.0530700631427352,4.161849838023724,3.755843053327698,419.1371327727603
Southcentral,MAY01,May 01,990001,Long Season,38,507,2943.170559534932,5765.017076715457,289.7280182705284,2821.8465171805256,0.978607231341666,2.559436922771819,54.00121492863326,576.8957230353992
Southcentral,MAY01,May 01,990002,Medium Season,38,507,4027.9449807951837,6572.58382642998,221.75724073497355,2544.6388456347972,1.0686936637714595,4.01304347088945,42.96702808758056,518.7523616734143
Southcentral,MAY01,May 01,990003,Short Season,38,507,3234.732118758435,4124.236530675802,160.63142323263781,889.5044119173675,0.4512212707399409,3.333574615794485,23.939371275285918,469.70087200249145
Southcentral,MAY01,May 01,990004,V. Short Season,38,507,2650.5066957334166,2798.0678916225474,97.78236271151252,147.5611958891311,0.06883376027181694,3.867676968308345,5.666076746309449,434.60775459358456
Southcentral,MAY10,May 10,990001,Long Season,38,507,2908.261185508149,5962.313453752725,293.295183224333,3054.0522682445758,1.076358075790608,2.5703269177579404,55.64219608079793,595.1104536489152
Southcentral,MAY10,May 10,990002,Medium Season,38,507,4077.2399563998756,6651.647409944981,228.35954531298663,2574.4074535451055,1.082805832709314,3.872366610900309,43.98908290733491,535.1510951936053
Southcentral,MAY10,May 10,990003,Short Season,38,507,3040.426139312779,3956.2150939478875,167.31288279871276,915.7889546351084,0.456568911658705,3.1377006985523717,27.3374068487438,486.78064984947576
Southcentral,MAY10,May 10,990004,V. Short Season,38,507,2691.10910412125,2923.506903353057,109.6348489567113,232.39779923180734,0.14584037166911662,3.511846239111017,8.457320071345173,451.65633758953595
Southcentral,MAY20,May 20,990001,Long Season,38,507,3202.951313194228,6361.080712135368,296.85975293262743,3158.1293989411397,1.0930359887597678,2.704622441751456,53.6221634651571,614.9219869199627
Southcentral,MAY20,May 20,990002,Medium Season,38,507,4071.4285788435586,6955.459047025849,233.55133395619222,2884.0304681822904,1.2117284052905077,3.9041165413609664,46.652339265418945,556.0933250285477
Southcentral,MAY20,May 20,990003,Short Season,38,507,2993.4641337070484,3998.395203986297,174.75474929928373,1004.9310702792485,0.4940051946818828,3.0963637719604318,29.69191776434662,508.2306135160386
Southcentral,MAY20,May 20,990004,V. Short Season,38,507,2591.447991279975,2852.8833177618603,123.22744731651615,261.43532648188517,0.15264572827082948,3.0916626554927706,10.979684329250455,469.10111076507843
Southeast,APR01,Apr 01,990001,Long Season,38,538,4639.599833692037,6092.058843670515,189.4944727059284,1452.4590099784778,0.6295051980266892,5.50907217120781,28.991733527288883,567.7622285267071
Southeast,APR01,Apr 01,990002,Medium Season,38,538,6437.613676384269,7782.232537663862,141.25293484640972,1344.618861279593,0.7216773535650419,8.446590838505339,19.757021601181112,496.90070436313835
Southeast,APR01,Apr 01,990003,Short Season,38,538,4160.40422617883,4469.081197417335,90.27954412052436,308.6769712385052,0.21845669108278187,6.829160805154432,7.4218581144494085,440.5260223048327
Southeast,APR01,Apr 01,990004,V. Short Season,38,538,2524.6961944824884,2589.161416552534,52.62546468401487,64.465222070045,0.0773189069327594,6.145201421770039,2.051159177313599,390.18137350811975
Southeast,APR10,Apr 10,990001,Long Season,38,538,5030.47285267071,6134.536489923694,175.72026022304834,1104.0636372529837,0.4747462040565503,6.2272093521631335,22.9575824917037,720.5756212091568
Southeast,APR10,Apr 10,990002,Medium Season,38,538,6811.84963803561,7708.290500880454,132.89473684210526,896.4408628448444,0.48460933079670604,9.005463792435961,13.922206932720472,648.3257679514772
Southeast,APR10,Apr 10,990003,Short Season,38,538,4331.086382312659,4501.01633731168,95.14649774995108,169.9299549990217,0.11181762045645825,6.532662973581019,4.261387147504647,595.2892780277832
Southeast,APR10,Apr 10,990004,V. Short Season,38,538,2499.000489141068,2504.9848366268834,55.56031109371943,5.98434748581491,0.004752426139698688,5.622825461423074,0.2124535162721417,544.7823322246136
Southeast,APR20,Apr 20,990001,Long Season,38,538,5063.986939933477,6248.089463901389,181.54348464097046,1184.1025239679122,0.4998203752509748,6.103883648670808,24.280835178976172,736.1873410291528
Southeast,APR20,Apr 20,990002,Medium Season,38,538,6529.180639796517,7500.503423987478,140.044756407748,971.3227841909608,0.5015356025971464,8.373588209643026,15.703618726567086,660.8604480532185
Southeast,APR20,Apr 20,990003,Short Season,38,538,4327.898601056545,4508.752201134807,98.67075914693798,180.8536000782626,0.12006571066762321,6.086173433972167,4.421268211425956,607.3414693797691
Southeast,APR20,Apr 20,990004,V. Short Season,38,538,2835.2331735472508,2841.559283897476,61.42878106045784,6.326110350225005,0.0038458544129841344,5.908086231843549,0.23883893226738723,563.9160144785756
Southeast,MAY01,May 01,990001,Long Season,38,538,4985.283995304246,6369.461944824888,185.87727450596753,1384.1779495206417,0.5750856098854871,5.8848011474747945,27.41673939140106,758.6842594404227
Southeast,MAY01,May 01,990002,Medium Season,38,538,6342.654617491685,7414.280766973196,148.0996869497163,1071.6261494815105,0.5414249758065474,7.468221032355219,17.847341668179162,680.7191841126981
Southeast,MAY01,May 01,990003,Short Season,38,538,4325.2328311485035,4561.5026902758755,110.0029348464097,236.26985912737234,0.14476678563452677,5.578142762646167,6.228308529403802,624.7661416552534
Southeast,MAY01,May 01,990004,V. Short Season,38,538,2877.334132263745,2891.5013206808844,69.5387399726081,14.167188417139505,0.011661745907519729,5.331676935368161,0.4739988238254808,580.6882703971826
